pdbID	chainID	DESCRIPTION	VIRUS
7qo9	A	 Spike glycoprotein,SARS-CoV-2 S Omicron Spike B.1.1.529	SARS-CoV-2
7qo7	C	 Surface glycoprotein,Fibritin,SARS-CoV-2 S Omicron Spike B.1.1.529	SARS-CoV-2
7qo7	B	 Surface glycoprotein,Fibritin,SARS-CoV-2 S Omicron Spike B.1.1.529	SARS-CoV-2
7qo7	A	 Surface glycoprotein,Fibritin,SARS-CoV-2 S Omicron Spike B.1.1.529	SARS-CoV-2
7t9l	A	 Spike glycoprotein	SARS-CoV-2
7t9k	C	 Spike glycoprotein	SARS-CoV-2
7t9k	B	 Spike glycoprotein	SARS-CoV-2
7t9k	A	 Spike glycoprotein	SARS-CoV-2
7t9j	C	 Spike glycoprotein	SARS-CoV-2
7t9j	B	 Spike glycoprotein	SARS-CoV-2
7t9j	A	 Spike glycoprotein	SARS-CoV-2
7tm0	C	 Spike glycoprotein	SARS-CoV-2
7tm0	B	 Spike glycoprotein	SARS-CoV-2
7tm0	A	 Spike glycoprotein	SARS-CoV-2
7tlz	J	 Spike glycoprotein	SARS-CoV-2
7tly	I	 Spike glycoprotein	SARS-CoV-2
7bno	C	 Spike glycoprotein	SARS-CoV-2
7bno	B	 Spike glycoprotein	SARS-CoV-2
7bno	A	 Spike glycoprotein	SARS-CoV-2
7bnm	C	 Spike glycoprotein	SARS-CoV-2
7bnm	B	 Spike glycoprotein	SARS-CoV-2
7bnm	A	 Spike glycoprotein	SARS-CoV-2
7a25	C	 Spike glycoprotein	SARS-CoV-2
7a25	B	 Spike glycoprotein	SARS-CoV-2
7a25	A	 Spike glycoprotein	SARS-CoV-2
7tb4	C	 Surface glycoprotein	SARS-CoV-2
7tb4	B	 Surface glycoprotein	SARS-CoV-2
7tb4	A	 Surface glycoprotein	SARS-CoV-2
7cwt	C	 Spike glycoprotein	SARS-CoV-2
7cwt	B	 Spike glycoprotein	SARS-CoV-2
7cwt	A	 Spike glycoprotein	SARS-CoV-2
7cws	R	 Spike glycoprotein	SARS-CoV-2
7cws	Q	 Spike glycoprotein	SARS-CoV-2
7cws	O	 Spike glycoprotein	SARS-CoV-2
7vx9	D	 Spike glycoprotein	SARS-CoV-2
7vx9	B	 Spike glycoprotein	SARS-CoV-2
7vx9	A	 Spike glycoprotein	SARS-CoV-2
7cn9	C	 Spike glycoprotein	SARS-CoV-2
7cn9	B	 Spike glycoprotein	SARS-CoV-2
7cn9	A	 Spike glycoprotein	SARS-CoV-2
7lcn	K	 Spike glycoprotein	SARS-CoV-2
7lcn	A	 Spike glycoprotein	SARS-CoV-2
7lcn	C	 Spike glycoprotein	SARS-CoV-2
7lab	C	 Spike glycoprotein	SARS-CoV-2
7lab	B	 Spike glycoprotein	SARS-CoV-2
7lab	A	 Spike glycoprotein	SARS-CoV-2
7l09	C	 Spike glycoprotein	SARS-CoV-2
7l09	B	 Spike glycoprotein	SARS-CoV-2
7l09	A	 Spike glycoprotein	SARS-CoV-2
7l06	C	 Spike glycoprotein	SARS-CoV-2
7l06	B	 Spike glycoprotein	SARS-CoV-2
7l06	A	 Spike glycoprotein	SARS-CoV-2
7l02	C	 Spike glycoprotein	SARS-CoV-2
7l02	B	 Spike glycoprotein	SARS-CoV-2
7l02	A	 Spike glycoprotein	SARS-CoV-2
7tht	C	 Spike glycoprotein	SARS-CoV-2
7tht	V	 Spike glycoprotein	SARS-CoV-2
7tht	S	 Spike glycoprotein	SARS-CoV-2
7laa	C	 Spike glycoprotein	SARS-CoV-2
7laa	B	 Spike glycoprotein	SARS-CoV-2
7laa	A	 Spike glycoprotein	SARS-CoV-2
7ld1	C	 Spike glycoprotein	SARS-CoV-2
7ld1	B	 Spike glycoprotein	SARS-CoV-2
7ld1	A	 Spike glycoprotein	SARS-CoV-2
7n9t	C	 Spike glycoprotein	SARS-CoV-2
7n9t	B	 Spike glycoprotein	SARS-CoV-2
7n9t	A	 Spike glycoprotein	SARS-CoV-2
7mkl	C	 Spike glycoprotein	SARS-CoV-2
7mkl	B	 Spike glycoprotein	SARS-CoV-2
7mkl	A	 Spike glycoprotein	SARS-CoV-2
7tl9	C	 Spike glycoprotein	SARS-CoV-2
7tl9	B	 Spike glycoprotein	SARS-CoV-2
7tl9	A	 Spike glycoprotein	SARS-CoV-2
7tl1	C	 Spike glycoprotein	SARS-CoV-2
7tl1	B	 Spike glycoprotein	SARS-CoV-2
7tl1	A	 Spike glycoprotein	SARS-CoV-2
7tf8	C	 Spike glycoprotein	SARS-CoV-2
7tf8	B	 Spike glycoprotein	SARS-CoV-2
7tf8	A	 Spike glycoprotein	SARS-CoV-2
7tei	C	 Spike glycoprotein	SARS-CoV-2
7tei	B	 Spike glycoprotein	SARS-CoV-2
7tei	A	 Spike glycoprotein	SARS-CoV-2
7a92	A	 Spike glycoprotein	SARS-CoV-2
7a91	A	 Spike glycoprotein	SARS-CoV-2
7e9t	C	 Spike protein S2	SARS-CoV-2
7e9t	B	 Spike protein S2	SARS-CoV-2
7e9t	A	 Spike protein S2	SARS-CoV-2
7l2c	B	 Spike glycoprotein	SARS-CoV-2
7l2c	A	 Spike glycoprotein	SARS-CoV-2
7b62	A	 Spike glycoprotein	SARS-CoV-2
7ly3	B	 Spike protein S1	SARS-CoV-2
7ly3	A	 Spike protein S1	SARS-CoV-2
7e8f	A	 Spike protein S1	SARS-CoV-2
7e7x	B	 Spike protein S1	SARS-CoV-2
7e7x	A	 Spike protein S1	SARS-CoV-2
7q0i	C	 Spike protein S1	SARS-CoV-2
7q0i	D	 Spike protein S1	SARS-CoV-2
7eya	N	 Spike glycoprotein	SARS-CoV-2
7ey4	N	 Spike glycoprotein	SARS-CoV-2
7d4g	B	 Spike glycoprotein S1	SARS-CoV-2
7m3i	R	 Spike protein S1	SARS-CoV-2
7m3i	C	 Spike protein S1	SARS-CoV-2
6xe1	E	 Spike protein S1	SARS-CoV-2
7m8j	A	 Spike protein S1	SARS-CoV-2
7m42	E	 Spike protein S1	SARS-CoV-2
6xdg	E	 Spike protein S1	SARS-CoV-2
7eam	B	 Spike protein S1	SARS-CoV-2
7eam	A	 Spike protein S1	SARS-CoV-2
7bnv	A	 Surface glycoprotein	SARS-CoV-2
7nkt	A	 Spike protein S1	SARS-CoV-2
7l4z	E	 Spike protein S1	SARS-CoV-2
7l4z	C	 Spike protein S1	SARS-CoV-2
7l4z	A	 Spike protein S1	SARS-CoV-2
7l4z	D	 Spike protein S1	SARS-CoV-2
7l4z	B	 Spike protein S1	SARS-CoV-2
7c01	B	 Spike protein S1	SARS-CoV-2
7c01	A	 Spike protein S1	SARS-CoV-2
7bz5	A	 Spike protein S1	SARS-CoV-2
7b0b	F	 Surface glycoprotein	SARS-CoV-2
6m0j	E	 Spike protein S1	SARS-CoV-2
7k9z	E	 Spike protein S1	SARS-CoV-2
7tp3	Z	 Spike protein S1	SARS-CoV-2
7s4s	A	 Spike protein S1	SARS-CoV-2
7lop	A	 Spike protein S1	SARS-CoV-2
7lop	Z	 Spike protein S1	SARS-CoV-2
7lm8	A	 Spike protein S1	SARS-CoV-2
7kn7	A	 Spike protein S1	SARS-CoV-2
7kn6	A	 Spike protein S1	SARS-CoV-2
7kn5	B	 Spike protein S1	SARS-CoV-2
7kn5	A	 Spike protein S1	SARS-CoV-2
7kn4	B	 Spike protein S1	SARS-CoV-2
7kn4	A	 Spike protein S1	SARS-CoV-2
7kn3	B	 Spike protein S1	SARS-CoV-2
7kn3	A	 Spike protein S1	SARS-CoV-2
7jmw	A	 Spike protein S1	SARS-CoV-2
7jmp	A	 Spike protein S1	SARS-CoV-2
7jmo	A	 Spike protein S1	SARS-CoV-2
6zlr	D	 Spike glycoprotein	SARS-CoV-2
6zlr	A	 Spike glycoprotein	SARS-CoV-2
6zlr	E	 Spike glycoprotein	SARS-CoV-2
6xkq	A	 Spike protein S1	SARS-CoV-2
6xkp	B	 Spike protein S1	SARS-CoV-2
6xkp	A	 Spike protein S1	SARS-CoV-2
6xc7	A	 Spike protein S1	SARS-CoV-2
6xc4	Z	 Spike protein S1	SARS-CoV-2
6xc4	A	 Spike protein S1	SARS-CoV-2
6xc3	C	 Spike protein S1	SARS-CoV-2
6xc2	Z	 Spike protein S1	SARS-CoV-2
6xc2	A	 Spike protein S1	SARS-CoV-2
6w41	C	 Spike protein S1	SARS-CoV-2
7ean	A	 Spike protein S1	SARS-CoV-2
7e8f	R	 Spike protein S1	SARS-CoV-2
7e7y	E	 Spike protein S1	SARS-CoV-2
7e7y	R	 Spike protein S1	SARS-CoV-2
7e5y	A	 Spike protein S1	SARS-CoV-2
7e5y	R	 Spike protein S1	SARS-CoV-2
7dpm	L	 Spike protein S1	SARS-CoV-2
7dpm	I	 Spike protein S1	SARS-CoV-2
7dpm	F	 Spike protein S1	SARS-CoV-2
7dpm	C	 Spike protein S1	SARS-CoV-2
7dk2	L	 Spike protein S1	SARS-CoV-2
7dk2	I	 Spike protein S1	SARS-CoV-2
7dk2	F	 Spike protein S1	SARS-CoV-2
7dk2	C	 Spike protein S1	SARS-CoV-2
7dk0	C	 Spike protein S1	SARS-CoV-2
7djz	C	 Spike protein S1	SARS-CoV-2
7chf	R	 Spike protein S1	SARS-CoV-2
7che	R	 Spike protein S1	SARS-CoV-2
7chc	R	 Spike protein S1	SARS-CoV-2
7chb	R	 Spike protein S1	SARS-CoV-2
7ch5	R	 Spike protein S1	SARS-CoV-2
7ch4	R	 Spike protein S1	SARS-CoV-2
6m17	F	 Spike protein S1	SARS-CoV-2
6m17	E	 Spike protein S1	SARS-CoV-2
7kfy	A	 Spike glycoprotein	SARS-CoV-2
7kfx	A	 Spike glycoprotein	SARS-CoV-2
7kfw	E	 Spike glycoprotein	SARS-CoV-2
7kfw	B	 Spike glycoprotein	SARS-CoV-2
7kfw	A	 Spike glycoprotein	SARS-CoV-2
7kfv	E	 Spike glycoprotein	SARS-CoV-2
7kfv	B	 Spike glycoprotein	SARS-CoV-2
7kfv	A	 Spike glycoprotein	SARS-CoV-2
7jvb	B	 Spike protein S1	SARS-CoV-2
7jvb	A	 Spike protein S1	SARS-CoV-2
7ekh	B	 Spike protein S1	SARS-CoV-2
7eke	B	 Spike protein S1	SARS-CoV-2
7nll	D	 Surface glycoprotein	SARS-CoV-2
7nll	B	 Surface glycoprotein	SARS-CoV-2
7ekf	B	 Spike protein S1	SARS-CoV-2
7b27	a	 Surface glycoprotein	SARS-CoV-2
7b27	A	 Surface glycoprotein	SARS-CoV-2
7wbq	D	 Spike protein S1	SARS-CoV-2
7wbq	B	 Spike protein S1	SARS-CoV-2
7ekc	B	 Spike protein S1	SARS-CoV-2
7ekg	B	 Spike protein S1	SARS-CoV-2
7l5b	A	 Spike protein S1	SARS-CoV-2
7np1	D	 Spike protein S1	SARS-CoV-2
7np1	C	 Spike protein S1	SARS-CoV-2
7np1	B	 Spike protein S1	SARS-CoV-2
7np1	A	 Spike protein S1	SARS-CoV-2
7cm4	A	 Spike glycoprotein	SARS-CoV-2
7rpv	H	 Spike protein S1	SARS-CoV-2
7rpv	G	 Spike protein S1	SARS-CoV-2
7rpv	F	 Spike protein S1	SARS-CoV-2
7rpv	E	 Spike protein S1	SARS-CoV-2
7efp	B	 Spike glycoprotein	SARS-CoV-2
7sn0	D	 Surface glycoprotein	SARS-CoV-2
7sn0	C	 Surface glycoprotein	SARS-CoV-2
7spp	A	 Spike protein S1	SARS-CoV-2
7km5	B	 Spike protein S1	SARS-CoV-2
7km5	A	 Spike protein S1	SARS-CoV-2
7efr	B	 Spike glycoprotein	SARS-CoV-2
7s0b	F	 Spike protein S1	SARS-CoV-2
7s0b	E	 Spike protein S1	SARS-CoV-2
7e5o	A	 Spike protein S1	SARS-CoV-2
7d6i	A	 Spike protein S1	SARS-CoV-2
7vnb	B	 Spike protein S1	SARS-CoV-2
7dmu	D	 Spike protein S1	SARS-CoV-2
7dmu	B	 Spike protein S1	SARS-CoV-2
7chs	E	 Spike protein S1	SARS-CoV-2
7chp	E	 Spike protein S1	SARS-CoV-2
7cho	A	 Spike protein S1	SARS-CoV-2
7cho	E	 Spike protein S1	SARS-CoV-2
7cdj	E	 Spike protein S1	SARS-CoV-2
7cdi	E	 Spike protein S1	SARS-CoV-2
7bwj	E	 Spike protein S1	SARS-CoV-2
7dhx	B	 Spike glycoprotein	SARS-CoV-2
6lzg	B	 Spike protein S1	SARS-CoV-2
7rku	D	 Spike protein S1	SARS-CoV-2
7rku	C	 Spike protein S1	SARS-CoV-2
7rku	B	 Spike protein S1	SARS-CoV-2
7rku	A	 Spike protein S1	SARS-CoV-2
7n3i	C	 Spike protein S1	SARS-CoV-2
7m6d	C	 Spike protein S1	SARS-CoV-2
7r6x	R	 Spike protein S1	SARS-CoV-2
7r6w	R	 Spike protein S1	SARS-CoV-2
7m7w	R	 Spike protein S1	SARS-CoV-2
7m7w	S	 Spike protein S1	SARS-CoV-2
7jx3	R	 Spike protein S1	SARS-CoV-2
7ddo	C	 Spike protein S1	SARS-CoV-2
7spo	B	 Spike protein S1	SARS-CoV-2
7spo	A	 Spike protein S1	SARS-CoV-2
6ym0	E	 Spike glycoprotein	SARS-CoV-2
6yla	A	 Spike glycoprotein	SARS-CoV-2
6yla	E	 Spike glycoprotein	SARS-CoV-2
7oay	K	 Spike protein S1	SARS-CoV-2
7oay	I	 Spike protein S1	SARS-CoV-2
7oay	G	 Spike protein S1	SARS-CoV-2
7oay	E	 Spike protein S1	SARS-CoV-2
7oay	C	 Spike protein S1	SARS-CoV-2
7oay	A	 Spike protein S1	SARS-CoV-2
7oao	E	 Spike protein S1	SARS-CoV-2
6zbp	E	 Spike glycoprotein	SARS-CoV-2
6yz7	E	 Spike glycoprotein	SARS-CoV-2
6yz7	A	 Spike glycoprotein	SARS-CoV-2
6yz5	E	 Spike glycoprotein	SARS-CoV-2
7l0n	S	 Spike protein S1	SARS-CoV-2
7l0n	R	 Spike protein S1	SARS-CoV-2
7l7f	F	 Spike glycoprotein, Envelope glycoprotein fusion	SARS-CoV-2
7l7f	E	 Spike glycoprotein, Envelope glycoprotein fusion	SARS-CoV-2
6zer	D	 Spike protein S1	SARS-CoV-2
6zer	A	 Spike protein S1	SARS-CoV-2
6zer	E	 Spike protein S1	SARS-CoV-2
6yor	A	 Spike glycoprotein	SARS-CoV-2
6yor	E	 Spike glycoprotein	SARS-CoV-2
7d30	B	 Spike protein S1	SARS-CoV-2
7d2z	B	 Spike protein S1	SARS-CoV-2
7cyv	B	 Spike protein S1	SARS-CoV-2
7can	B	 Spike protein S1	SARS-CoV-2
7c8w	B	 Spike protein S1	SARS-CoV-2
7c8v	B	 Spike protein S1	SARS-CoV-2
7oap	E	 Spike protein S1	SARS-CoV-2
7oau	E	 Spike protein S1	SARS-CoV-2
7oau	A	 Spike protein S1	SARS-CoV-2
7oaq	E	 Spike protein S1	SARS-CoV-2
7klh	A	 Spike glycoprotein	SARS-CoV-2
7klh	B	 Spike glycoprotein	SARS-CoV-2
7klg	A	 Spike glycoprotein	SARS-CoV-2
7klg	B	 Spike glycoprotein	SARS-CoV-2
7l7e	b	 Spike protein S1	SARS-CoV-2
7l7e	S	 Spike protein S1	SARS-CoV-2
7l7e	K	 Spike protein S1	SARS-CoV-2
7l7e	G	 Spike protein S1	SARS-CoV-2
7l7d	E	 Spike protein S1	SARS-CoV-2
7mmo	F	 Spike protein S1	SARS-CoV-2
7mmo	C	 Spike protein S1	SARS-CoV-2
7kmi	C	 Spike protein S1	SARS-CoV-2
7kmh	C	 Spike protein S1	SARS-CoV-2
7kmg	F	 Spike protein S1	SARS-CoV-2
7kmg	C	 Spike protein S1	SARS-CoV-2
7tp4	Z	 Spike protein S1	SARS-CoV-2
7mf1	A	 Spike protein S1	SARS-CoV-2
7lq7	E	 Spike protein S1	SARS-CoV-2
7lq7	B	 Spike protein S1	SARS-CoV-2
7lq7	A	 Spike protein S1	SARS-CoV-2
7deu	A	 Spike protein S1	SARS-CoV-2
7det	C	 Spike protein S1	SARS-CoV-2
7det	A	 Spike protein S1	SARS-CoV-2
7deo	D	 Spike protein S1	SARS-CoV-2
7deo	B	 Spike protein S1	SARS-CoV-2
7lo4	B	 Spike protein S1	SARS-CoV-2
7n4m	A	 Spike protein S1	SARS-CoV-2
7n4l	A	 Spike protein S1	SARS-CoV-2
7n4j	A	 Spike protein S1	SARS-CoV-2
7n4i	C	 Spike protein S1	SARS-CoV-2
7mzn	A	 Spike protein S1	SARS-CoV-2
7mzm	A	 Spike protein S1	SARS-CoV-2
7mzl	A	 Spike protein S1	SARS-CoV-2
7mzk	A	 Spike protein S1	SARS-CoV-2
7mzk	B	 Spike protein S1	SARS-CoV-2
7mzj	A	 Spike protein S1	SARS-CoV-2
7mzj	B	 Spike protein S1	SARS-CoV-2
7mzi	A	 Spike protein S1	SARS-CoV-2
7mzh	A	 Spike protein S1	SARS-CoV-2
7mzh	E	 Spike protein S1	SARS-CoV-2
7mzg	A	 Spike protein S1	SARS-CoV-2
7mzf	A	 Spike protein S1	SARS-CoV-2
7mfu	D	 Spike protein S1	SARS-CoV-2
7mfu	A	 Spike protein S1	SARS-CoV-2
6zh9	E	 Spike glycoprotein	SARS-CoV-2
6z2m	E	 Spike glycoprotein	SARS-CoV-2
6z2m	A	 Spike glycoprotein	SARS-CoV-2
7mlz	A	 Spike protein S1	SARS-CoV-2
7ldj	D	 Spike glycoprotein	SARS-CoV-2
7ldj	C	 Spike glycoprotein	SARS-CoV-2
7ldj	A	 Spike glycoprotein	SARS-CoV-2
7ldj	B	 Spike glycoprotein	SARS-CoV-2
7msq	B	 Spike protein S1	SARS-CoV-2
7msq	A	 Spike protein S1	SARS-CoV-2
7kzb	C	 Spike glycoprotein	SARS-CoV-2
7kgj	A	 Spike glycoprotein	SARS-CoV-2
7b14	A	 Spike protein S1	SARS-CoV-2
7phg	A	 Surface glycoprotein	SARS-CoV-2
7lrs	C	 Spike glycoprotein	SARS-CoV-2
7r8l	E	 Spike protein S1	SARS-CoV-2
7n9a	E	 Spike protein S1	SARS-CoV-2
7b17	A	 Spike protein S1	SARS-CoV-2
7pr0	D	 Spike protein S1	SARS-CoV-2
7pr0	A	 Spike protein S1	SARS-CoV-2
7pr0	E	 Spike protein S1	SARS-CoV-2
7pqz	E	 Spike protein S1	SARS-CoV-2
7pqy	A	 Spike protein S1	SARS-CoV-2
7pqy	E	 Spike protein S1	SARS-CoV-2
7or9	E	 Spike protein S1	SARS-CoV-2
7nx6	E	 Spike protein S1	SARS-CoV-2
7neh	E	 Spike glycoprotein	SARS-CoV-2
7bep	C	 Spike glycoprotein	SARS-CoV-2
7bep	E	 Spike glycoprotein	SARS-CoV-2
7beo	X	 Spike glycoprotein	SARS-CoV-2
7beo	R	 Spike glycoprotein	SARS-CoV-2
7ben	C	 Spike glycoprotein	SARS-CoV-2
7ben	E	 Spike glycoprotein	SARS-CoV-2
7bem	E	 Spike glycoprotein	SARS-CoV-2
7bel	X	 Spike glycoprotein	SARS-CoV-2
7bel	R	 Spike glycoprotein	SARS-CoV-2
7bek	E	 Spike glycoprotein	SARS-CoV-2
7bej	E	 Spike glycoprotein	SARS-CoV-2
7bei	E	 Spike glycoprotein	SARS-CoV-2
7beh	E	 Spike glycoprotein	SARS-CoV-2
6zcz	E	 Spike protein S1	SARS-CoV-2
7f7e	E	 Spike protein S1	SARS-CoV-2
7qny	E	 Surface glycoprotein	SARS-CoV-2
7qnx	E	 Surface glycoprotein	SARS-CoV-2
7the	A	 Spike protein S1	SARS-CoV-2
7olz	A	 Spike protein S1	SARS-CoV-2
7kgk	A	 Spike protein S1	SARS-CoV-2
7k9k	A	 Spike protein S1	SARS-CoV-2
7k9i	A	 Spike protein S1	SARS-CoV-2
7e3j	B	 Spike protein S1	SARS-CoV-2
7c8j	B	 SARS-CoV-2 Receptor binding domain	SARS-CoV-2
7c8d	B	 Spike protein S1	SARS-CoV-2
7rr0	A	 Spike protein S1	SARS-CoV-2
7klw	A	 Spike protein S1	SARS-CoV-2
7cyh	A	 Spike glycoprotein	SARS-CoV-2
7cjf	C	 Spike protein S1	SARS-CoV-2
7cah	A	 Spike protein S1	SARS-CoV-2
7b3o	E	 Spike protein S1	SARS-CoV-2
7ora	C	 Spike protein S1	SARS-CoV-2
7ora	R	 Spike protein S1	SARS-CoV-2
7nx8	E	 Spike protein S1	SARS-CoV-2
7nx7	E	 Spike protein S1	SARS-CoV-2
7orb	X	 Spike protein S1	SARS-CoV-2
7orb	R	 Spike protein S1	SARS-CoV-2
7mej	R	 Spike protein S1	SARS-CoV-2
7me7	R	 Spike protein S1	SARS-CoV-2
7mdw	R	 Spike protein S1	SARS-CoV-2
7,00E+88	L	 Spike protein S1	SARS-CoV-2
7,00E+88	I	 Spike protein S1	SARS-CoV-2
7,00E+88	F	 Spike protein S1	SARS-CoV-2
7,00E+88	C	 Spike protein S1	SARS-CoV-2
7e3c	A	 Spike protein S1	SARS-CoV-2
7e3b	A	 Spike protein S1	SARS-CoV-2
7,00E+39	A	 Spike protein S1	SARS-CoV-2
7,00E+23	A	 Spike protein S1	SARS-CoV-2
7dx4	E	 Spike protein S1	SARS-CoV-2
6zfo	A	 Spike protein S1	SARS-CoV-2
6zfo	E	 Spike protein S1	SARS-CoV-2
6zdg	D	 Spike protein S1	SARS-CoV-2
6zdg	A	 Spike protein S1	SARS-CoV-2
6zdg	E	 Spike protein S1	SARS-CoV-2
7,00E+86	C	 Spike protein S1	SARS-CoV-2
7neg	E	 Surface glycoprotein	SARS-CoV-2
7nx9	E	 Spike protein S1	SARS-CoV-2
7rxd	R	 Spike protein S1	SARS-CoV-2
7fdg	E	 Spike protein S1	SARS-CoV-2
7dqa	C	 Spike glycoprotein	SARS-CoV-2
7fdh	E	 Spike protein S1	SARS-CoV-2
7fdi	E	 Spike protein S1	SARS-CoV-2
7w9i	E	 Spike protein S1	SARS-CoV-2
7w9f	E	 Spike protein S1	SARS-CoV-2
7q0h	E	 Spike protein S1	SARS-CoV-2
7q0g	E	 Spike protein S1	SARS-CoV-2
7ps7	R	 Spike protein S1	SARS-CoV-2
7ps7	E	 Spike protein S1	SARS-CoV-2
7ps6	E	 Spike protein S1	SARS-CoV-2
7ps5	E	 Spike protein S1	SARS-CoV-2
7ps4	A	 Spike protein S1	SARS-CoV-2
7ps4	E	 Spike protein S1	SARS-CoV-2
7ps2	G	 Spike protein S1	SARS-CoV-2
7ps1	E	 Spike protein S1	SARS-CoV-2
7ps0	A	 Spike protein S1	SARS-CoV-2
7ps0	E	 Spike protein S1	SARS-CoV-2
7prz	E	 Spike protein S1	SARS-CoV-2
7pry	I	 Spike protein S1	SARS-CoV-2
7pry	E	 Spike protein S1	SARS-CoV-2
7e8m	E	 Spike protein S1	SARS-CoV-2
7nxa	E	 Spike protein S1	SARS-CoV-2
7nxc	B	 Spike protein S1	SARS-CoV-2
7nxb	E	 Spike protein S1	SARS-CoV-2
7e3o	R	 Spike protein S1	SARS-CoV-2
7pki	E	 BANAL 236 coronavirus spike receptor-binding domain	SARS-CoV-2
7fdk	E	 Spike protein S1	SARS-CoV-2
7mkm	A	 Spike protein S1	SARS-CoV-2
7bh9	E	 Spike protein S1	SARS-CoV-2
7k8m	E	 Spike glycoprotein	SARS-CoV-2
7vmu	B	 Spike protein S1	SARS-CoV-2
1wyy	B	 E2 Glycoprotein	SARS-CoV
1wyy	A	 E2 Glycoprotein	SARS-CoV
7cot	C	 Spike glycoprotein	SARS-CoV
7cot	B	 Spike glycoprotein	SARS-CoV
7cot	A	 Spike glycoprotein	SARS-CoV
7c53	F	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
7c53	E	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
7c53	D	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
7c53	C	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
7c53	B	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
7c53	A	 Spike protein S2',pan-CoVs inhibitor EK1	SARS-CoV-2
2fxp	C	 Spike glycoprotein	SARS-CoV
2fxp	B	 Spike glycoprotein	SARS-CoV
2fxp	A	 Spike glycoprotein	SARS-CoV
6x45	A	 Spike protein S2'	SARS-CoV-2
6x45	B	 Spike protein S2'	SARS-CoV-2
6x45	C	 Spike protein S2'	SARS-CoV-2
7ek6	A	 Spike protein S2	SARS-CoV
2beq	F	 Spike glycoprotein	SARS-CoV
2beq	E	 Spike glycoprotein	SARS-CoV
2beq	D	 Spike glycoprotein	SARS-CoV
7my8	A	 Spike protein S2	SARS-CoV-2
1zv7	B	 spike glycoprotein	SARS-CoV
1zv7	A	 spike glycoprotein	SARS-CoV
7r95	A	 Spike protein S2	SARS-CoV-2
2bez	F	 Spike glycoprotein	SARS-CoV
1wnc	F	 E2 glycoprotein	SARS-CoV
1wnc	E	 E2 glycoprotein	SARS-CoV
1wnc	D	 E2 glycoprotein	SARS-CoV
1wnc	C	 E2 glycoprotein	SARS-CoV
1wnc	B	 E2 glycoprotein	SARS-CoV
1wnc	A	 E2 glycoprotein	SARS-CoV
7ek6	B	 Spike protein S2	SARS-CoV
1zv8	L	 E2 glycoprotein	SARS-CoV
1zv8	J	 E2 glycoprotein	SARS-CoV
1zv8	H	 E2 glycoprotein	SARS-CoV
1zv8	F	 E2 glycoprotein	SARS-CoV
1zv8	D	 E2 glycoprotein	SARS-CoV
1zv8	B	 E2 glycoprotein	SARS-CoV
1zvb	C	 E2 glycoprotein	SARS-CoV
1zvb	B	 E2 glycoprotein	SARS-CoV
1zvb	A	 E2 glycoprotein	SARS-CoV
7nab	C	 Spike protein S2	SARS-CoV
7nab	D	 Spike protein S2	SARS-CoV
7sjs	C	 stem helix peptide of Spike protein S2'	SARS-CoV
7tow	D	 Spike protein S2	SARS-CoV-2
7tow	E	 Spike protein S2	SARS-CoV-2
7s3n	A	 Spike glycoprotein	SARS-CoV
2ruo	A	 UNP residues 873-888 of Spike glycoprotein	SARS-CoV
7m53	A	 Spike glycoprotein stem helix peptide	SARS-CoV
7rnj	B	 Spike glycoprotein stem helix peptide	SARS-CoV
5w9p	I	 Spike glycoprotein	MERS-CoV
5w9p	H	 Spike glycoprotein	MERS-CoV
5w9p	C	 Spike glycoprotein	MERS-CoV
5w9p	B	 Spike glycoprotein	MERS-CoV
5w9p	A	 Spike glycoprotein	MERS-CoV
5w9p	J	 Spike glycoprotein	MERS-CoV
5w9o	L	 Spike glycoprotein	MERS-CoV
5w9o	K	 Spike glycoprotein	MERS-CoV
5w9o	J	 Spike glycoprotein	MERS-CoV
5w9o	G	 Spike glycoprotein	MERS-CoV
5w9o	D	 Spike glycoprotein	MERS-CoV
5w9o	A	 Spike glycoprotein	MERS-CoV
5w9n	J	 MERS S	MERS-CoV
5w9n	I	 MERS S	MERS-CoV
5w9n	H	 MERS S	MERS-CoV
5w9n	G	 MERS S	MERS-CoV
5w9n	D	 MERS S	MERS-CoV
5w9n	A	 MERS S	MERS-CoV
5w9m	J	 Spike glycoprotein	MERS-CoV
5w9m	F	 Spike glycoprotein	MERS-CoV
5w9m	E	 Spike glycoprotein	MERS-CoV
5w9m	G	 Spike glycoprotein	MERS-CoV
5w9m	D	 Spike glycoprotein	MERS-CoV
5w9m	A	 Spike glycoprotein	MERS-CoV
5w9l	J	 Spike glycoprotein	MERS-CoV
5w9l	C	 Spike glycoprotein	MERS-CoV
5w9l	B	 Spike glycoprotein	MERS-CoV
5w9l	G	 Spike glycoprotein	MERS-CoV
5w9l	D	 Spike glycoprotein	MERS-CoV
5w9l	A	 Spike glycoprotein	MERS-CoV
5w9k	L	 Spike glycoprotein	MERS-CoV
5w9k	K	 Spike glycoprotein	MERS-CoV
5w9k	J	 Spike glycoprotein	MERS-CoV
